Syllabi,Publisher,Year,Title,Author1firstname,Author1Lastname,Author1gender,Author1Probability,Author2FirstName,Author2LastName,Author2Gender,Author2Probability,Author3firstname,Author3Lastname,Author3gender,Author3Probability,Author4firstname,Author4Lastname,Author4gender,Author4Probability,Author5firstname,Author5Lastname,Author5gender,Author5Probability,Journal,Volume,Number,Pages
13200001,Princeton University Press,1994,Designing Social Inquiry,Gary,King,male,1,Robert,Keohane,male,1,Sidney,Verba,male,0.76,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,264
13200001,Princeton University Press,1998,Analytic Narratives,Robert,Bates,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,249
13200001,"Oxford University Press, USA",2007,The Oxford Handbook of Comparative Politics,Susan,Stokes,female,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,1021
13200001,Oxford University Press on Demand,2008,The Oxford Handbook of Political Methodology,Janet,Box-Steffensmeier,female,1,Henry,Brady,male,1,David,Collier,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,880
13200001,Rowman & Littlefield,2010,Rethinking Social Inquiry,Henry,Brady,male,1,David,Collier,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,410
13200001,Boulder : Westview Press,1988,The Precarious Balance,Donald,Rothchild,male,1,Naomi,Chazan,female,0.99,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,357
13200001,Cornell University Press,1996,Bandits and Bureaucrats,Karen,Barkey,female,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,282
13200001,Cambridge University Press,2009,Comparative Politics,Mark,Lichbach,male,1,Alan,Zuckerman,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,NULL
13200001,Cambridge University Press,2003,Political Topographies of the African State,Catherine,Boone,female,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,405
13200001,Vandenhoeck & Ruprecht,2008,Communist and Post-Communist Parties in Europe,Uwe,Backes,male,1,Patrick,Moreau,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,660
13200001,NULL,1993,Post-Communist Studies and Political Science,Frederic,Fleron,male,1,Erik,Hoffmann,male,0.99,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,387
13200001,Cambridge University Press,2010,The Evolution of Modern States,Sven,Steinmo,male,0.97,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,NULL
13200001,Yale University Press,2006,Political Order in Changing Societies,Samuel,Huntington,male,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,488
13200001,Verso Books,2013,Lineages of the Absolutist State,Perry,Anderson,male,0.94,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,576
13200001,Princeton Univ Pr,1975,The Formation of national States in Western Europe,Charles,Tilly,male,1,Gabriel,Ardant,male,0.99,Social,Politics,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,711
13200001,Cambridge University Press,2015,States and Social Revolutions,Theda,Skocpol,female,1,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,NULL
13200001,Cambridge University Press,1985,Bringing the State Back In,Peter,Evans,male,1,Dietrich,Rueschemeyer,male,1,Theda,Skocpol,female,1,Social,Structures,,0,Joint,Studies,,0,NULL,NULL,NULL,390
13200001,Princeton University Press,1988,Strong Societies and Weak States,Joel,Migdal,male,0.99,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,296
13200001,Princeton University Press,1988,Strong Societies and Weak States,Joel,Migdal,male,0.99,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,,0,NULL,NULL,NULL,296
